Base salary: Data Analyst SF '17-'18
82763
80000
80000
82000
83000
86000
130000
83000
83000
83000
83000
112000
92955
84000
92955
92955
75000
65640
85000
115482
100000
74880
74880
92955
80000
100000
80000
120432
70000
95000
110000
110000
120000
120000
123000
125000
125000
170000
66352
74131
82000
89898
90917
90917
90917
90917
92955
92955
92955
92955
92955
92955
92955
95000
99195
99195
140000
102669
105000
135000
95000
79165
92955
110000
92955
106116
92955
129106
102669
100000
76835
70000
65042
80000
70000
102000
66000
86000
64713
65042
110250
115211
80000
67974
85000
90000
103500
115000
85000
65500
114000
50000
65100
65100
92700
66000
85738
85738
90000
115211
105000
70000
103615
108000
110000
110000
110000
110000
115000
130000
65000
105000
120000
63814
63814
85000
65500
110000
100000
85000
77000
75000
66000
105000
130000
